state,stage,sex,year,schools_total,students_total,teachers_total,students_per_teacher,students_per_school,teachers_per_school,schools_growth_1y,students_growth_1y,teachers_growth_1y
kelantan,primary,female,2017,418,83983,9873,8.506330396029576,200.91626794258374,23.619617224880383,,,
kelantan,primary,female,2018,418,83962,10472,8.017761650114592,200.86602870813397,25.05263157894737,0.0,-0.0002500506054796804,0.06067051554745265
kelantan,primary,female,2019,418,84381,10575,7.979290780141844,201.8684210526316,25.29904306220096,0.0,0.004990352778637955,0.009835752482811306
kelantan,primary,female,2020,418,83601,10523,7.944597548227692,200.0023923444976,25.17464114832536,0.0,-0.009243787108472287,-0.00491725768321513
kelantan,primary,female,2021,418,83996,10455,8.03405069344811,200.94736842105263,25.01196172248804,0.0,0.004724823865743233,-0.006462035541195477
kelantan,primary,female,2022,418,84365,10663,7.911938478852106,201.83014354066987,25.50956937799043,0.0,0.004393066336492214,0.01989478718316595
kelantan,primary,male,2017,418,87856,5895,14.903477523324852,210.1818181818182,14.102870813397129,,,
kelantan,primary,male,2018,418,87444,5822,15.019580900034352,209.19617224880383,13.92822966507177,0.0,-0.0046894918958295395,-0.012383375742154368
kelantan,primary,male,2019,418,87652,5783,15.156839010894,209.6937799043062,13.834928229665072,0.0,0.0023786652028726955,-0.006698728959120577
kelantan,primary,male,2020,418,87073,5720,15.222552447552447,208.30861244019138,13.68421052631579,0.0,-0.0066056678683886275,-0.01089399965415874
kelantan,primary,male,2021,418,87567,5614,15.597969362308515,209.49043062200957,13.430622009569378,0.0,0.005673400480056964,-0.01853146853146853
kelantan,primary,male,2022,418,87780,5701,15.39729871952289,210.0,13.638755980861244,0.0,0.002432423173113159,0.0154969718560741
kelantan,secondary_lower,female,2017,175,67273,7766,8.662503219160444,384.41714285714284,44.37714285714286,,,
kelantan,secondary_lower,female,2018,177,58877,7979,7.378994861511468,332.638418079096,45.07909604519774,0.011428571428571429,-0.12480489943959687,0.027427246973989183
kelantan,secondary_lower,female,2019,177,63154,8046,7.849117573949789,356.8022598870057,45.45762711864407,0.0,0.07264296754250386,0.008397042235869156
kelantan,secondary_lower,female,2020,177,55518,8056,6.8915094339622645,313.66101694915255,45.51412429378531,0.0,-0.12091078949868575,0.0012428535918468805
kelantan,secondary_lower,female,2021,178,55989,7965,7.029378531073446,314.5449438202247,44.747191011235955,0.005649717514124294,0.008483735004863288,-0.011295928500496525
kelantan,secondary_lower,female,2022,178,56799,8243,6.890573820211088,319.09550561797755,46.30898876404494,0.0,0.01446712747146761,0.03490269930947897
kelantan,secondary_lower,male,2017,175,63099,4907,12.85897697167312,360.5657142857143,28.04,,,
kelantan,secondary_lower,male,2018,177,56843,4813,11.810305422813213,321.14689265536725,27.192090395480225,0.011428571428571429,-0.09914578677950522,-0.01915630731607907
kelantan,secondary_lower,male,2019,177,58448,4778,12.232733361239012,330.2146892655367,26.994350282485875,0.0,0.02823566666080256,-0.007271971743195512
kelantan,secondary_lower,male,2020,177,53968,4629,11.658673579606827,304.9039548022599,26.152542372881356,0.0,-0.07664932931836846,-0.03118459606529929
