state,stage,sex,year,completion_rate,malaysia_completion_rate,completion_gap_from_malaysia,target_year,next_year_completion_rate,next_year_completion_gap_from_malaysia,target_delta,lag1_completion_rate,lag1_completion_gap_from_malaysia,completion_rate_change_1y,gap_change_1y,rolling2_completion_mean,rolling2_gap_mean
kedah,secondary_lower,male,2022,99.6,99.2,0.3999999999999915,2023,,,,99.7,0.5,-0.10000000000000853,-0.10000000000000853,99.65,0.44999999999999574
kedah,secondary_upper,female,2016,98.8679,99.4922,-0.624299999999991,2017,98.573,1.0809999999999889,-0.2949000000000126,,,,,98.8679,-0.624299999999991
kedah,secondary_upper,female,2017,98.573,97.492,1.0809999999999889,2018,97.5336,1.0204000000000093,-1.0393999999999863,98.8679,-0.624299999999991,-0.2949000000000126,1.7052999999999798,98.72045,0.22834999999999894
kedah,secondary_upper,female,2018,97.5336,96.5132,1.0204000000000093,2019,97.9,-1.0,0.3663999999999987,98.573,1.0809999999999889,-1.0393999999999863,-0.06059999999997956,98.05330000000001,1.050699999999999
kedah,secondary_upper,female,2019,97.9,98.9,-1.0,2020,97.9,4.300000000000011,0.0,97.5336,1.0204000000000093,0.3663999999999987,-2.0204000000000093,97.7168,0.01020000000000465
kedah,secondary_upper,female,2020,97.9,93.6,4.300000000000011,2021,100.0,2.0999999999999943,2.0999999999999943,97.9,-1.0,0.0,5.300000000000011,97.9,1.6500000000000057
kedah,secondary_upper,female,2021,100.0,97.9,2.0999999999999943,2022,99.6,0.29999999999999716,-0.4000000000000057,97.9,4.300000000000011,2.0999999999999943,-2.200000000000017,98.95,3.200000000000003
kedah,secondary_upper,female,2022,99.6,99.3,0.29999999999999716,2023,,,,100.0,2.0999999999999943,-0.4000000000000057,-1.7999999999999972,99.8,1.1999999999999957
kedah,secondary_upper,male,2016,99.3418,98.9922,0.34960000000000946,2017,96.2206,1.0080000000000098,-3.1212000000000018,,,,,99.3418,0.34960000000000946
kedah,secondary_upper,male,2017,96.2206,95.2126,1.0080000000000098,2018,93.9202,-0.7976000000000028,-2.3004000000000104,99.3418,0.34960000000000946,-3.1212000000000018,0.6584000000000003,97.78120000000001,0.6788000000000096
kedah,secondary_upper,male,2018,93.9202,94.7178,-0.7976000000000028,2019,95.3,-0.7999999999999972,1.379800000000003,96.2206,1.0080000000000098,-2.3004000000000104,-1.8056000000000125,95.0704,0.10520000000000351
kedah,secondary_upper,male,2019,95.3,96.1,-0.7999999999999972,2020,95.5,3.5,0.20000000000000284,93.9202,-0.7976000000000028,1.379800000000003,-0.0023999999999944066,94.61009999999999,-0.7988
kedah,secondary_upper,male,2020,95.5,92.0,3.5,2021,101.2,3.6000000000000085,5.700000000000003,95.3,-0.7999999999999972,0.20000000000000284,4.299999999999997,95.4,1.3500000000000014
kedah,secondary_upper,male,2021,101.2,97.6,3.6000000000000085,2022,98.7,-0.3999999999999915,-2.5,95.5,3.5,5.700000000000003,0.10000000000000853,98.35,3.5500000000000043
kedah,secondary_upper,male,2022,98.7,99.1,-0.3999999999999915,2023,,,,101.2,3.6000000000000085,-2.5,-4.0,99.95,1.6000000000000085
kelantan,primary,female,2016,101.49,99.14,2.3499999999999943,2017,101.41,2.5799999999999983,-0.0799999999999983,,,,,101.49,2.3499999999999943
kelantan,primary,female,2017,101.41,98.83,2.5799999999999983,2018,100.59,2.0700000000000074,-0.8199999999999932,101.49,2.3499999999999943,-0.0799999999999983,0.23000000000000398,101.44999999999999,2.4649999999999963
kelantan,primary,female,2018,100.59,98.52,2.0700000000000074,2019,101.1,2.3999999999999915,0.5099999999999909,101.41,2.5799999999999983,-0.8199999999999932,-0.5099999999999909,101.0,2.325000000000003
kelantan,primary,female,2019,101.1,98.7,2.3999999999999915,2020,101.5,2.200000000000003,0.4000000000000057,100.59,2.0700000000000074,0.5099999999999909,0.3299999999999841,100.845,2.2349999999999994
kelantan,primary,female,2020,101.5,99.3,2.200000000000003,2021,101.8,1.2999999999999972,0.29999999999999716,101.1,2.3999999999999915,0.4000000000000057,-0.19999999999998863,101.3,2.299999999999997
kelantan,primary,female,2021,101.8,100.5,1.2999999999999972,2022,99.2,-0.8999999999999915,-2.5999999999999943,101.5,2.200000000000003,0.29999999999999716,-0.9000000000000057,101.65,1.75
kelantan,primary,female,2022,99.2,100.1,-0.8999999999999915,2023,,,,101.8,1.2999999999999972,-2.5999999999999943,-2.1999999999999886,100.5,0.20000000000000284
kelantan,primary,male,2016,99.2,97.64,1.5600000000000023,2017,99.0,1.6599999999999966,-0.20000000000000284,,,,,99.2,1.5600000000000023
kelantan,primary,male,2017,99.0,97.34,1.6599999999999966,2018,98.12,1.2600000000000051,-0.8799999999999955,99.2,1.5600000000000023,-0.20000000000000284,0.09999999999999432,99.1,1.6099999999999994
kelantan,primary,male,2018,98.12,96.86,1.2600000000000051,2019,98.7,1.5,0.5799999999999983,99.0,1.6599999999999966,-0.8799999999999955,-0.3999999999999915,98.56,1.4600000000000009
kelantan,primary,male,2019,98.7,97.2,1.5,2020,97.6,0.0,-1.1000000000000085,98.12,1.2600000000000051,0.5799999999999983,0.23999999999999488,98.41,1.3800000000000026
kelantan,primary,male,2020,97.6,97.6,0.0,2021,98.7,1.2000000000000028,1.1000000000000085,98.7,1.5,-1.1000000000000085,-1.5,98.15,0.75
kelantan,primary,male,2021,98.7,97.5,1.2000000000000028,2022,97.3,-1.4000000000000057,-1.4000000000000057,97.6,0.0,1.1000000000000085,1.2000000000000028,98.15,0.6000000000000014
kelantan,primary,male,2022,97.3,98.7,-1.4000000000000057,2023,,,,98.7,1.2000000000000028,-1.4000000000000057,-2.6000000000000085,98.0,-0.10000000000000142
kelantan,secondary_lower,female,2016,96.6945,97.0444,-0.349899999999991,2017,96.9235,-1.729699999999994,0.2289999999999992,,,,,96.6945,-0.349899999999991
kelantan,secondary_lower,female,2017,96.9235,98.6532,-1.729699999999994,2018,86.3164,-11.3647,-10.607100000000003,96.6945,-0.349899999999991,0.2289999999999992,-1.379800000000003,96.809,-1.0397999999999925
kelantan,secondary_lower,female,2018,86.3164,97.6811,-11.3647,2019,98.8,0.7999999999999972,12.483599999999996,96.9235,-1.729699999999994,-10.607100000000003,-9.635000000000005,91.61995,-6.547199999999997
kelantan,secondary_lower,female,2019,98.8,98.0,0.7999999999999972,2020,112.9,13.600000000000009,14.100000000000009,86.3164,-11.3647,12.483599999999996,12.164699999999996,92.5582,-5.282350000000001
kelantan,secondary_lower,female,2020,112.9,99.3,13.600000000000009,2021,112.9,12.5,0.0,98.8,0.7999999999999972,14.100000000000009,12.800000000000011,105.85,7.200000000000003
